,asin
0,0005089549
2,000503860X
7,0005419263
10,0005092663
24,0005019281
324,0005119367
544,0005123968
557,0006486576
608,0307142477
611,0307142493
744,0310271908
748,0310396336
755,0375810331
847,0510539610
869,0578047861
872,0615115187
894,0738921467
904,0738920061
906,0738920762
942,0739040375
948,0740318764
952,0740325124
965,0757915655
969,0764000969
971,0764005529
1029,0764006401
1053,0764004581
1065,0764003828
1094,0764008722
1188,0764193627
1194,076700941X
1255,0767001311
1270,0767015525
1438,0767023447
1503,0767018699
1550,0767020294
1631,0767087372
1730,0767020731
1843,0767027329
1850,0767025512
1856,0767023765
1884,0767019245
1993,0767803310
1998,0767803434
2271,0767808673
2627,0767809726
2709,0767809254
2833,0767805534
3147,0767813421
3576,076780192X
3939,0767819454
4118,0767819462
4188,0767801814
4417,0767819519
4418,0767811704
4436,0767815335
4700,0767815963
4772,0767826728
4875,0767817737
4956,0767827686
4962,0767830555
5173,0767821408
5256,0767726227
5669,0767800311
5741,0767817664
5787,0767837398
5905,0767834739
6334,0767817486
6378,0767818105
6745,0767835069
7141,0767839129
7486,0767821807
7558,0767853636
7794,0767814908
7916,0767850823
8005,0767836359
8174,0767821610
8254,076780046X
8357,0767811089
8874,0767088247
9068,0767839277
9214,0767824555
9226,0767824571
10143,0767805712
10667,076785344X
10786,0767817648
11019,0767882938
11076,0767802799
11293,0767804325
11459,0767827759
11737,0769720307
11765,0769721036
11774,0769770444
11775,0778607704
11810,0780021045
11817,0780021932
11943,0780020715
12104,0780021649
12105,0780022319
12173,0780620372
12201,0780621956
12230,0780023196
12253,0780606957
12396,078062176X
12408,0780023099
12410,0780615573
12496,0780622677
12524,0780622189
12525,0780622383
12537,078060718X
12548,078062386X
12659,0780621638
12961,0780626699
13041,0780627822
13090,0780021088
13097,0780630068
13173,0780626613
13218,0780622537
13341,0780023447
13369,0780629752
13393,078062582X
13667,0780020855
13736,0780625390
13766,0780626702
13953,0780022386
14011,0780630866
14077,0780023161
14093,0780623614
14345,078065062X
14432,0780662504
14630,0780623223
14664,0780621832
14718,0780620496
15069,078063134X
15070,0780630874
15185,0780635299
15520,0781740681
15523,0782007848
15532,0782010792
15945,0782006752
16222,0782008119
16259,0782008372
16409,078201061X
17568,0783114729
17617,0783114222
17650,0783111037
17695,0783112750
17940,0783211201
17985,078311530X
18212,078310135X
18263,0783111509
18378,0782010040
18989,0783218923
19073,0783217048
19078,0783110960
19254,0783110901
19463,0783222726
19590,0783115539
19622,0783224788
19644,0783222424
19654,0783211694
19670,0783227272
20034,0783226853
20116,0783226535
20413,0783225857
20634,0783114907
21013,0783116640
21025,0783226608
21739,0783226799
21796,0783224583
22010,0783228252
22073,0783228686
22230,0783227930
22338,0783228341
22345,0783225911
22661,078322995X
22689,0783226896
22756,0783217498
22763,0783117159
22806,0783209967
23111,078322723X
23176,0783230427
23299,078322687X
23425,0783226985
23640,0783231032
24325,078322561X
24546,0783229747
24598,0783239955
24708,0783229569
24828,0783230346
24920,0783227361
25552,0783240473
25671,0783241569
25799,0783227892
26487,0783240066
26807,0783234287
27013,0783210973
27068,0783241313
27233,0783230486
27301,0783235380
27406,0783229712
27409,0783239408
27435,0783226993
27551,078322947X
27598,0783235410
28039,0783245130
28212,078322740X
28934,0783243499
29322,0783235615
29513,0783235674
29693,0783116926
29768,0783227922
30059,0783229399
30138,0784001308
30162,0784011370
30457,078400949X
30506,0784013470
30723,0784011680
30779,0784017808
31073,0784011532
31198,0784017956
31201,0784010331
31238,0784017875
31589,0784011249
31603,0784017964
31605,0784011648
31914,0788600931
31978,0788606344
32007,0788810634
32057,0788812467
32102,0788821075
32176,0788857746
32205,078885383X
33103,0788815474
33440,078887148X
33601,078882273X
33961,0788872796
34196,0788812262
34324,0788860119
34496,0788832182
34534,0788802194
35073,0788812424
35107,0788861956
35304,0788832492
35719,0788814664
37183,0790724960
37260,0790732548
37340,0790732521
37369,079073124X
37412,0790731266
37862,0790732181
38230,0790729687
38314,0790731215
38659,0790732300
38768,0790733919
39442,0790733226
40103,0790732432
40195,0790729733
40224,0790734419
40928,0790725657
41291,0790729709
41374,0790729342
41828,0790729989
42452,0790729377
42890,0790729644
43585,0790731797
44096,0790733927
44119,0790729628
44221,0790732149
45047,0790736063
45235,0790739313
45483,0790737744
45760,0790740281
45946,079073463X
46829,0790740664
47141,0790734737
47174,0790740451
47591,0790736977
47747,0790740443
48114,0790737647
48153,0790731517
48200,0790741288
48271,079073608X
48439,0790743213
48779,0790741067
49046,0790741644
49206,0790744813
49456,0790743442
49589,0790744929
49790,0790748193
50061,0790731614
50147,0790750732
50203,0790744236
50409,0790751569
50441,0790748266
50456,079072961X
50500,0790741431
50641,0790742462
51167,0790744546
51222,0790750414
51394,0790734966
51460,0790757354
51655,0790785366
51836,0790737868
51964,079075181X
52037,079079568X
52141,0790745003
52268,0790751445
52319,0790741296
52351,0790751143
52484,079074886X
52524,0790746387
52527,079074676X
52643,0790736527
53451,0792115465
53490,0792151712
53491,0792153456
53591,0792143817
53956,0792146433
54440,0792102320
55242,0792158202
56046,0792157850
56607,0792153189
56744,0792145496
56814,0792146344
59011,0792160347
59275,0792110188
59419,0792160932
59845,0792165039
60182,0792171306
60262,0792166736
60488,0792199405
60522,0792153677
60596,0792153685
60715,0792166523
60819,0792145097
60824,0792292553
60862,0792834976
60879,0792834933
61013,0792833201
61597,0792836030
61824,0792834917
61963,0792836529
62310,0792837746
62316,0792838955
62392,0792836618
62529,079283948X
62560,0792836685
63179,079283514X
63186,0792840119
63454,0792837398
63504,0792838653
63525,0792839129
63771,0792841905
64090,0792842162
64778,079284209X
65011,0792840984
65264,0792840011
65301,0792838726
65438,0792843991
65461,0792843800
65474,0792843894
65534,0792843967
65781,0792839684
66057,0792838947
66154,0792838661
66358,0792843622
66376,0792844718
66398,0792844025
66422,0792842111
66465,079284565X
66512,0792841409
66524,0792842626
67042,0792845552
67376,0792846133
67530,0792841980
67887,0792846605
68039,0792844734
68322,0792842154
68393,0792844033
68445,0792845900
68483,0792844041
68555,0792899768
68589,0792842006
68617,0792899075
68657,0792844645
68695,0792898524
68786,0792899458
68973,0792898702
69075,0792845870
69096,0792845242
69107,0792839420
69177,0792844785
69185,0792899229
69218,0792841840
69414,0792845765
69579,0792839072
69725,0792899806
70030,0793906091
70054,079396041X
70069,079398257X
70204,0793984297
70211,0793961009
70469,0793927536
70559,0793927714
72362,0800112652
72409,0800114051
72508,0800111842
72561,0800129016
72662,0800141709
72739,0800177029
72952,0800129784
73060,0800116143
73346,0800127943
73358,0800141741
73537,0800104862
73631,0800121260
73684,0800180429
73873,0800139062
73916,0800115066
73958,0800198840
73972,0800135547
73976,0800136926
73994,0800141660
74920,0842375619
74938,0842526919
74939,084252455X
74941,0849922372
74953,0849986761
74954,0870204556
75020,0874934648
75044,0892216972
75052,0898706939
75058,093085280X
75119,0935278591
75120,0936184906
75122,0941232131
75130,0941283186
75136,0945671873
75143,0949906980
75146,0956310117
75150,0963093932
75164,0964083817
75172,0964500094
75174,0966063341
75207,0966296400
75215,0966531248
75219,0966691105
75238,0967124816
75243,0967418518
75331,0967501032
75363,096751780X
75438,0967830206
75440,0970103905
75461,097013830X
75469,0970662408
75470,0970742231
75474,0971098220
75481,0971098212
75492,0971098255
75496,097131649X
75498,0971366306
75502,0971744319
75507,0972043306
75527,0972597506
75530,0973323396
75531,097369470X
75543,0974510300
75547,0975061968
75551,0976202468
75557,0976233916
75563,0976731096
75570,0979927900
75571,0981460224
75588,0981458971
75597,0784010447
75612,0982153309
75613,0982939876
75624,0982982224
75626,0983298122
75633,0984301801
75640,0988187469
75648,098828278X
75652,0849975034
75655,0001526863
75669,0784017735
75679,0757990290
75685,0898707145
75687,1401927297
75689,1401926339
75759,1401926436
75761,1403143609
75765,140498822X
75842,1415723427
76099,0780630548
76109,1424819210
76572,078885996X
77211,0964278928
77221,0005000009
77260,0973005009
77271,0782009328
77283,0792154436
77314,0740319140
77321,0790747693
77436,1556586892
77438,1557396248
77459,1557840873
77463,1558804641
77561,1558908676
77565,1558908382
77825,1559409002
77983,155940860X
78086,1559408758
78133,1559408677
78550,1560154012
78557,1560396474
78560,1560395907
78575,1560396539
78580,1560689994
78793,1561270563
78795,1561080004
78816,1561589578
78821,1562022393
78853,1562196308
78854,1562199730
78859,1562196367
78887,1562021907
78898,1562196650
78903,1562550888
79840,1563311976
79894,1563452685
80070,1563453789
80537,156371616X
80604,156501345X
80621,156580211X
80623,1565855744
80627,1565859723
80629,1565856635
80630,1566053692
80637,1566053986
80734,1566331803
80737,1567301614
80738,1567301568
80783,1567301789
80792,1567301606
80797,1567301355
80821,1568124945
80826,1568327730
80832,1568392273
80902,1568556829
80963,0790740672
80988,1569382964
80997,1569383790
81000,1569388997
81011,1569389063
81012,1569383529
81091,1569385939
81144,1569388059
81148,1569381976
81154,1569383472
81158,1569388431
81272,156949407X
81275,1571196927
81280,1571323848
81284,1571322728
81286,1571208526
81287,1571323368
81293,1571320377
81300,1571324127
81318,1571324240
81343,157132528X
81361,1572521252
81371,1572521279
81396,1572523018
81402,1572521473
81416,1572521783
81423,1572520639
81430,1572522178
81484,1572522747
81493,1572524421
81645,1572524359
81714,1572521597
81738,1572522410
81762,1572521368
81780,1572522828
81810,1572521384
81811,1572525401
81816,1572525959
81843,1572522380
81873,1572523255
81892,1572526564
81918,1572527242
81943,1572521767
82028,1572522224
82029,1572523026
82034,1572524537
82036,1572524413
82059,1572522321
82075,1572525509
82107,1572522402
82138,1572528338
82140,1572522127
82154,1572523573
82190,1572525525
82223,157252765X
82254,1572522445
82264,1572522232
82580,1572522550
82664,157252250X
82687,1573305723
82689,1573305766
82698,1573307386
82701,1573303585
82717,1573309869
82728,1573301043
82739,1573309966
82743,1573305588
82752,1573300985
82797,1573300357
82822,1573306932
82839,1573306983
82934,1573300470
82942,1573309885
82946,1573301507
82956,1573309982
82975,1573301469
82979,1573470589
82988,1573470988
83007,1573472093
83035,157347049X
83077,1573471194
83108,1573623008
83115,1573470767
83138,1573470821
83189,1573624071
83196,1573624365
83327,1573626481
83368,1573626910
83375,1573626163
83388,157362408X
83473,1573624802
83544,157362554X
83592,157347181X
83606,1573623946
83672,1573628042
83787,1573627089
83795,157362389X
83826,1573629774
83887,1573624101
83890,1573623903
84011,1573624160
84089,1573626171
84310,1573624977
84322,1573471917
84331,157347228X
84356,1573624292
84534,1573471070
84549,1573628174
84592,157492463X
84597,1574922777
84632,1574924486
84637,1574924656
84644,1574927302
84661,1574925784
84700,157492432X
84705,1574924451
84745,1574922815
84760,1574922807
84790,1574928228
84802,1574928295
84857,1575237555
84859,157523730X
84890,1575237466
84916,1574920855
84917,1575239701
84949,1575233452
84983,1575235846
84993,1576181006
84998,1577133196
85058,1577138112
85060,157742154X
85107,1577422821
85121,1577423232
85134,1577421531
85139,1578004306
85141,1578002230
85142,1578071976
85150,1578071461
85163,1578213959
85168,1578212308
85173,1578214696
85175,1578482135
85180,157848300X
85185,1578482305
85186,1578483050
85213,1578482909
85218,1578482984
85219,1578482895
85237,1578482739
85245,1578900026
85249,1578900018
85250,1582704147
85259,1582704708
85282,1582705674
85648,1583500251
85663,1583500561
85666,1584480408
85671,1584481358
85685,1586171941
85758,1586551043
85763,1586683950
86017,1587270811
86073,1591259886
86088,1591796946
86093,1592180418
86193,1594444536
86208,1596982004
86214,1596982012
86223,1598038990
86227,1601400748
86255,1603584803
86258,1603993428
86265,1603996796
86300,1603993266
86301,1604865229
86316,160529893X
86330,1605290572
86349,1606732439
86358,1608618897
86362,1612387292
86365,1421367912
86542,1578482224
86547,1627590803
86548,1629971804
86551,1629970484
86556,1629971340
86560,0005164850
86564,1880336499
86565,1885955006
86574,1888568003
86588,1888617098
86597,188916514X
86608,1891252135
86622,1892309165
86628,1896306918
86641,1896306292
86659,1896306071
86665,1896306993
86747,1897020600
86779,1921643870
86855,1930004540
86860,1930612001
86865,1932134670
86889,1932225285
86899,1932645446
86907,1933424478
86914,1933424338
86952,1933591005
86956,1578216095
86957,1935515535
86960,1936488264
87017,193648806X
87022,1936488191
87185,1936906309
87188,1937825469
87194,1937920119
87200,1938067517
87222,193834037X
87233,0740309323
87248,381409011X
87255,3812900319
87263,3918810143
87340,5551037568
87342,5550137976
87345,5553615429
87348,5550211793
87349,5555221916
87359,5552439538
87365,5554454828
87402,5555084080
87522,5555291744
87651,5558279494
87840,5554452574
87908,555402128X
87926,5559477400
87962,5553799260
88065,555987308X
88177,5559203726
88331,5559571741
88370,5553646839
88484,5559921009
88529,5559778273
88553,5819906179
88558,581990608X
88569,5819906586
88598,5556000948
88607,5819907027
88608,6160601083
88615,6162251020
88628,6163271416
88634,6162251012
88643,6115220017
88648,6163876032
88652,6160418289
88668,6165010083
88677,6300132838
88694,6300133257
88707,6300133737
88709,6300129373
88717,616344261X
88719,6165155901
88742,6300133133
88744,6300137236
88757,6300134938
88765,6300137171
88774,630014738X
88793,6300134210
88801,6300146464
88854,6300133486
88857,630014996X
88860,6300150151
88866,6300146421
88938,6300138429
88945,6300147274
88964,6300128628
88976,630013718X
88977,630012861X
88980,6300134318
88990,6300142256
88997,6300137376
89034,6300147444
89055,6300149978
89076,6300147630
89149,6300159140
89210,6300155447
89234,6300147789
89331,6300157601
89387,6300147487
89414,6300131076
89533,6300155919
89640,6300164616
89677,630015467X
89684,6300158888
89737,6300141012
89782,6300158411
89808,6300132641
89809,6300160270
89844,630015386X
89846,6300165760
89866,6300146057
89940,6300163962
90044,630016389X
90070,6300137511
90105,6300166139
90118,6300153029
90152,6300147967
90179,6300180247
90253,6300145786
90258,6300166651
